Country,Life Expectancy,Rank,,Life Expectancy
Kazakhstan,69.78,135,,69.781 years
Kenya,63.06,170,,63.062 years
Kiribati,66.63,151,,66.635 years
Kuwait,74.77,94,,74.772 years
Kyrgyzstan,70.97,124,,70.97 years
Laos,67.42,147,,67.427 years
Latvia,74.51,98,,74.519 years
Lebanon,80.09,41,,80.099 years
Lesotho,50.45,200,,50.453 years
Liberia,61.88,175,,61.881 years
Libya,72.1 ,116,,72.1 years
Lithuania,73.72,107,,73.727 years
Luxembourg,82.25,17,,82.255 years
Macau,81.23,28,,81.237 years
Macedonia,75.83,77,,75.838 years
Madagascar,66.26,154,,66.268 years
Malawi,65.50,159,,65.509 years
Malaysia,75.23,89,,75.234 years
Maldives,77.44,56,,77.441 years
Mali,59.46,185,,59.462 years
Malta,81.07,32,,81.073 years
Martinique,82.40,15,,82.409 years
Mauritania,63.54,168,,63.547 years
Mauritius,74.91,92,,74.911 years
Mayotte,80.51,37,,80.512 years
Mexico,77.38,58,,77.382 years
Micronesia,69.54,137,,69.546 years
Moldova,71.85,117,,71.852 years
Mongolia,70.44,129,,70.444 years
Montenegro,76.60,66,,76.607 years
Morocco,74.78,93,,74.782 years
Mozambique,56.10,192,,56.103 years
Myanmar,66.44,152,,66.445 years
Namibia,65.35,160,,65.355 years
Nepal,70.69,126,,70.699 years
Netherlands,81.99,19,,81.998 years
New Caledonia,77.17,60,,77.179 years
New Zealand,82.36,16,,82.361 years
Nicaragua,75.76,78,,75.768 years
Niger,62.70,172,,62.707 years
Nigeria,53.62,194,,53.62 years
North Korea,70.99,123,,70.99 years
Norway,82.02,18,,82.028 years
Oman,77.40,57,,77.402 years
Pakistan,66.7 ,150,,66.7 years
Palestine,73.40,109,,73.403 years
Panama,78.09,51,,78.098 years
Papua New Guinea,63.13,169,,63.135 years
Paraguay,73.17,112,,73.173 years
Peru,75.35,83,,75.352 years
Philippines,68.63,144,,68.633 years
Poland,77.93,52,,77.937 years
Portugal,81.64,22,,81.64 years
Puerto Rico,80.10,40,,80.106 years
Qatar,78.62,48,,78.623 years
Republic of the Congo,63.81,166,,63.818 years
Reunion,80.66,36,,80.664 years
Romania,75.07,90,,75.079 years
Russia,70.44,130,,70.443 years
Rwanda,65.78,157,,65.788 years
Saint Lucia,75.49,80,,75.496 years
Saint Vincent and the Grenadines,73.25,111,,73.251 years
Samoa,74.18,101,,74.182 years
Sao Tome and Principe,66.85,148,,66.852 years
Saudi Arabia,74.72,96,,74.721 years
Senegal,67.66,146,,67.669 years
Serbia,75.31,85,,75.317 years
Seychelles,73.65,108,,73.65 years
Sierra Leone,52.01,199,,52.017 years
Singapore,83.60,4,,83.608 years
Slovakia,76.64,65,,76.646 years
Slovenia,80.92,33,,80.922 years
Solomon Islands,68.54,145,,68.547 years
Somalia,56.37,191,,56.373 years
South Africa,57.85,188,,57.852 years
South Korea,82.62,12,,82.626 years
South Sudan,56.92,189,,56.927 years
Spain,83.12,6,,83.127 years
Sri Lanka,75.40,82,,75.408 years
Sudan,64.16,164,,64.162 years
Suriname,71.52,120,,71.527 years
Swaziland,48.84,201,,48.844 years
Sweden,82.68,11,,82.683 years
Switzerland,83.48,5,,83.489 years
Syria,70.22,132,,70.224 years
Taiwan,80.16,39,,80.163 years
Tajikistan,69.85,134,,69.85 years
Tanzania,66.35,153,,66.356 years
Thailand,74.98,91,,74.985 years
Timor-Leste,69.11,141,,69.11 years
Togo,60.97,178,,60.975 years
Tonga,73.31,110,,73.312 years
Trinidad and Tobago,70.71,125,,70.718 years
Tunisia,75.35,84,,75.351 years
Turkey,76.06,73,,76.06 years
Turkmenistan,66.00,155,,66.009 years
Uganda,60.53,180,,60.537 years
Ukraine,71.24,121,,71.247 years
United Arab Emirates,77.46,55,,77.46 years
United Kingdom,81.16,29,,81.167 years
United States,79.50,45,,79.501 years
United States Virgin Islands,81.09,31,,81.097 years
Uruguay,77.66,54,,77.663 years
Uzbekistan,68.75,143,,68.753 years
Vanuatu,72.57,114,,72.572 years
Venezuela,74.76,95,,74.769 years
Vietnam,76.22,70,,76.225 years
Western Sahara,69.14,140,,69.148 years
Yemen,64.43,163,,64.435 years
Zambia,62.04,173,,62.04 years
Zimbabwe,61.74,176,,61.742 years
